election_id,election_office,state,congress,district,year,election_type
vt.uscongress3.secondballot,U.S. House of Representatives,VT,17,3,1820,General
tn.ushouserepresentativespecial.1801,U.S. House of Representatives,TN,7,NA,1801,Special
tn.ushouserepresentatives.1797,U.S. House of Representatives,TN,5,NA,1797,General
pa.uscongress4.specialelection.1801,U.S. House of Representatives,PA,7,4,1801,Special
oh.ushouseofrepresentatives.6.special.1813,U.S. House of Representatives,OH,13,6,1813,Special
oh.ushouseofrepresentatives.district6.1812,U.S. House of Representatives,OH,13,6,1812,General
oh.ushouseofrepresentatives.district5.1812,U.S. House of Representatives,OH,13,5,1812,General
oh.ushouseofrepresentatives.district4.1812,U.S. House of Representatives,OH,13,4,1812,General
oh.ushouseofrepresentatives.3.special.1813,U.S. House of Representatives,OH,13,3,1813,Special
oh.ushouseofrepresentatives.district3.1812,U.S. House of Representatives,OH,13,3,1812,General
oh.ushouseofrepresentatives.district2.1812,U.S. House of Representatives,OH,13,2,1812,General
oh.ushouseofrepresentatives.district1.1812,U.S. House of Representatives,OH,13,1,1812,General
oh.ushouseofrepresentatives.1810,U.S. House of Representatives,OH,12,NA,1810,General
oh.ushouseofrepresentatives.1808,U.S. House of Representatives,OH,11,NA,1808,General
oh.us.houseofrepresentatives.1806,U.S. House of Representatives,OH,10,NA,1806,General
ny.specialelectioncongress20.1816,U.S. House of Representatives,NY,15,20,1816,Special
ny.specialelectioncongress.1817,U.S. House of Representatives,NY,15,4,1817,Special
ny.specialelectioncongress12.1815,U.S. House of Representatives,NY,14,12,1815,Special
ny.specialelectioncongress6.1815,U.S. House of Representatives,NY,14,6,1812,Special
ny.uscongress.broome.1813,U.S. House of Representatives,NY,13,15,1813,Special
ny.uscongress.niagara.1812,U.S. House of Representatives,NY,13,15,1812,General
ny.uscongress.cayuga.1812,U.S. House of Representatives,NY,13,14,1812,General
ny.uscongress.jefferson.1812,U.S. House of Representatives,NY,13,10,1812,General
ny.uscongress.schenectady.1812,U.S. House of Representatives,NY,13,7,1812,General
ny.uscongress.greene.1812,U.S. House of Representatives,NY,13,5,1812,General
ny.uscongress.orange.1812,U.S. House of Representatives,NY,13,3,1812,General
ny.specialelectioncongress2.1813,U.S. House of Representatives,NY,13,2,1813,Special
ny.uscongress.richmond.1812,U.S. House of Representatives,NY,13,2,1812,General
ny.uscongress6.2.1808,U.S. House of Representatives,NY,11,6,1808,General
nc.uscongress5.special.1806,U.S. House of Representatives,NC,9,10,1806,Special
ma.uscongress.hampshirenouth.1812,U.S. House of Representatives,MA,13,6,1812,General
ky.uscongress5.1810.special,U.S. House of Representatives,KY,11,5,1810,Special
in.usrepresentative.3rd.1824,U.S. House of Representatives,IN,19,3,1824,General
in.usrepresentative.2nd.1824,U.S. House of Representatives,IN,19,2,1824,General
in.usrepresentative.1st.1824,U.S. House of Representatives,IN,19,1,1824,General
in.usrepresentative.3rd.1822,U.S. House of Representatives,IN,18,3,1822,General
in.usrepresentative.2nd.1822,U.S. House of Representatives,IN,18,2,1822,General
in.usrepresentative.1st.special.1824,U.S. House of Representatives,IN,18,1,1824,Special
in.usrepresentative.1st.1822,U.S. House of Representatives,IN,18,1,1822,General
ct.nomination.congress.1818,U.S. House of Representatives,CT,16,NA,1818,General
ct.nomination.congress.1816,U.S. House of Representatives,CT,15,NA,1816,General
ct.nomination.congress.1814,U.S. House of Representatives,CT,14,NA,1814,General
ct.nomination.congress.1812,U.S. House of Representatives,CT,13,NA,1812,General
ct.nomination.congress.1806,U.S. House of Representatives,CT,10,NA,1806,General
ct.nomination.congress.1804,U.S. House of Representatives,CT,9,NA,1804,General
ct.nomination.congress.1802,U.S. House of Representatives,CT,8,NA,1802,General
